Date,Winning numbers
"Jun 19, 2018",0 1
"Jun 18, 2018",2 4
"Jun 17, 2018",8 7
"Jun 16, 2018",8 2
"Jun 15, 2018",8 9
"Jun 14, 2018",8 3
"Jun 13, 2018",2 6
"Jun 12, 2018",2 3
"Jun 11, 2018",0 5
"Jun 10, 2018",0 8
"Jun 09, 2018",3 3
"Jun 08, 2018",4 9
"Jun 07, 2018",3 6
"Jun 06, 2018",9 2
"Jun 05, 2018",9 6
"Jun 04, 2018",1 0
"Jun 03, 2018",4 0
"Jun 02, 2018",6 8
"Jun 01, 2018",3 0
"May 31, 2018",7 1
"May 30, 2018",9 8
"May 29, 2018",0 5
"May 28, 2018",1 3
"May 27, 2018",0 9
"May 26, 2018",1 3
"May 25, 2018",0 3
"May 24, 2018",1 7
"May 23, 2018",0 0
"May 22, 2018",6 5
"May 21, 2018",0 8
"May 20, 2018",5 0
"May 19, 2018",4 5
"May 18, 2018",0 1
"May 17, 2018",3 6
"May 16, 2018",2 8
"May 15, 2018",6 1
"May 14, 2018",0 6
"May 13, 2018",4 6
"May 12, 2018",7 5
"May 11, 2018",9 7
"May 10, 2018",9 5
"May 09, 2018",5 0
"May 08, 2018",8 5
"May 07, 2018",2 7
"May 06, 2018",4 7
"May 05, 2018",3 2
"May 04, 2018",4 8
"May 03, 2018",8 1
"May 02, 2018",3 7
"May 01, 2018",7 1
"Apr 30, 2018",8 9
"Apr 29, 2018",7 5
"Apr 28, 2018",2 8
"Apr 27, 2018",7 7
"Apr 26, 2018",7 6
"Apr 25, 2018",2 9
"Apr 24, 2018",0 2
"Apr 23, 2018",4 0
"Apr 22, 2018",2 2
"Apr 21, 2018",2 9
"Apr 20, 2018",9 9
"Apr 19, 2018",7 3
"Apr 18, 2018",1 5
"Apr 17, 2018",2 1
"Apr 16, 2018",8 2
"Apr 15, 2018",1 7
"Apr 14, 2018",8 3
"Apr 13, 2018",9 8
"Apr 12, 2018",6 8
"Apr 11, 2018",9 5
"Apr 10, 2018",2 9
"Apr 09, 2018",3 2
"Apr 08, 2018",4 1
"Apr 07, 2018",4 6
"Apr 06, 2018",8 8
"Apr 05, 2018",8 4
"Apr 04, 2018",0 9
"Apr 03, 2018",6 8
"Apr 02, 2018",8 8
"Apr 01, 2018",2 0
"Mar 31, 2018",5 3
"Mar 30, 2018",7 3
"Mar 29, 2018",2 8
"Mar 28, 2018",6 5
"Mar 27, 2018",7 1
"Mar 26, 2018",3 5
"Mar 25, 2018",2 0
"Mar 24, 2018",5 8
"Mar 23, 2018",4 8
"Mar 22, 2018",1 9
"Mar 21, 2018",0 7
"Mar 20, 2018",9 2
"Mar 19, 2018",4 3
"Mar 18, 2018",2 7
"Mar 17, 2018",2 5
"Mar 16, 2018",4 0
"Mar 15, 2018",5 5
"Mar 14, 2018",4 6
"Mar 13, 2018",2 5
"Mar 12, 2018",3 0
"Mar 11, 2018",9 5
"Mar 10, 2018",1 0
"Mar 09, 2018",1 1
"Mar 08, 2018",7 2
"Mar 07, 2018",3 3
"Mar 06, 2018",1 8
"Mar 05, 2018",7 0
"Mar 04, 2018",8 8
"Mar 03, 2018",1 2
"Mar 02, 2018",4 6
"Mar 01, 2018",2 8
"Feb 28, 2018",3 3
"Feb 27, 2018",0 1
"Feb 26, 2018",9 4
"Feb 25, 2018",2 6
"Feb 24, 2018",9 8
"Feb 23, 2018",7 4
"Feb 22, 2018",6 5
"Feb 21, 2018",9 1
"Feb 20, 2018",1 5
"Feb 19, 2018",4 6
"Feb 18, 2018",3 3
"Feb 17, 2018",9 6
"Feb 16, 2018",0 0
"Feb 15, 2018",8 3
"Feb 14, 2018",2 7
"Feb 13, 2018",7 6
"Feb 12, 2018",6 5
"Feb 11, 2018",0 0
"Feb 10, 2018",5 2
"Feb 09, 2018",6 1
"Feb 08, 2018",4 1
"Feb 07, 2018",8 9
"Feb 06, 2018",7 5
"Feb 05, 2018",7 0
"Feb 04, 2018",3 1
"Feb 03, 2018",7 4
"Feb 02, 2018",4 4
"Feb 01, 2018",5 3
"Jan 31, 2018",8 3
"Jan 30, 2018",8 0
"Jan 29, 2018",9 4
"Jan 28, 2018",2 3
"Jan 27, 2018",0 6
"Jan 26, 2018",2 6
"Jan 25, 2018",3 0
"Jan 24, 2018",4 9
"Jan 23, 2018",9 8
"Jan 22, 2018",4 9
"Jan 21, 2018",1 5
"Jan 20, 2018",0 1
"Jan 19, 2018",1 7
"Jan 18, 2018",0 0
"Jan 17, 2018",0 8
"Jan 16, 2018",7 7
"Jan 15, 2018",4 0
"Jan 14, 2018",0 5
"Jan 13, 2018",7 4
"Jan 12, 2018",7 5
"Jan 11, 2018",3 6
"Jan 10, 2018",8 5
"Jan 09, 2018",9 0
"Jan 08, 2018",5 5
"Jan 07, 2018",7 5
"Jan 06, 2018",6 0
"Jan 05, 2018",8 0
"Jan 04, 2018",0 0
"Jan 03, 2018",1 6
"Jan 02, 2018",7 7
"Jan 01, 2018",2 5
"Dec 31, 2017",3 9
"Dec 30, 2017",6 0
"Dec 29, 2017",6 3
"Dec 28, 2017",8 6
"Dec 27, 2017",7 7
"Dec 26, 2017",6 5
"Dec 25, 2017",7 3
"Dec 24, 2017",6 3
"Dec 23, 2017",8 6
"Dec 22, 2017",3 5
"Dec 21, 2017",1 2
"Dec 20, 2017",4 3
"Dec 19, 2017",0 7
"Dec 18, 2017",1 1
"Dec 17, 2017",6 5
"Dec 16, 2017",1 7
"Dec 15, 2017",0 1
"Dec 14, 2017",9 7
"Dec 13, 2017",5 3
"Dec 12, 2017",9 0
"Dec 11, 2017",3 2
"Dec 10, 2017",3 1
"Dec 09, 2017",3 6
"Dec 08, 2017",4 1
"Dec 07, 2017",3 7
"Dec 06, 2017",8 0
"Dec 05, 2017",5 8
"Dec 04, 2017",5 3
"Dec 03, 2017",3 9
"Dec 02, 2017",1 9
"Dec 01, 2017",0 5
"Nov 30, 2017",5 9
"Nov 29, 2017",2 9
"Nov 28, 2017",3 1
"Nov 27, 2017",5 3
"Nov 26, 2017",0 9
"Nov 25, 2017",4 8
"Nov 24, 2017",5 1
"Nov 23, 2017",6 7
"Nov 22, 2017",7 6
"Nov 21, 2017",4 7
"Nov 20, 2017",7 3
"Nov 19, 2017",9 0
"Nov 18, 2017",0 6
"Nov 17, 2017",1 5
"Nov 16, 2017",3 9
"Nov 15, 2017",8 9
"Nov 14, 2017",7 9
"Nov 13, 2017",8 8
"Nov 12, 2017",4 7
"Nov 11, 2017",3 0
"Nov 10, 2017",7 1
"Nov 09, 2017",5 0
"Nov 08, 2017",1 1
"Nov 07, 2017",4 5
"Nov 06, 2017",7 6
"Nov 05, 2017",8 7
"Nov 04, 2017",1 2
"Nov 03, 2017",5 6
"Nov 02, 2017",9 5
"Nov 01, 2017",1 2
"Oct 31, 2017",0 7
"Oct 30, 2017",6 0
"Oct 29, 2017",6 2
"Oct 28, 2017",0 6
"Oct 27, 2017",3 6
"Oct 26, 2017",6 4
"Oct 25, 2017",6 6
"Oct 24, 2017",5 5
"Oct 23, 2017",1 9
"Oct 22, 2017",5 7
"Oct 21, 2017",9 1
"Oct 20, 2017",8 3
"Oct 19, 2017",5 6
"Oct 18, 2017",1 3
"Oct 17, 2017",7 9
"Oct 16, 2017",7 1
"Oct 15, 2017",8 0
"Oct 14, 2017",8 2
"Oct 13, 2017",6 2
"Oct 12, 2017",0 5
"Oct 11, 2017",3 4
"Oct 10, 2017",6 0
"Oct 09, 2017",9 1
"Oct 08, 2017",8 5
"Oct 07, 2017",9 0
"Oct 06, 2017",4 9
"Oct 05, 2017",4 0
"Oct 04, 2017",3 0
"Oct 03, 2017",0 1
"Oct 02, 2017",6 3
"Oct 01, 2017",8 7
"Sep 30, 2017",3 4
"Sep 29, 2017",3 3
"Sep 28, 2017",2 4
"Sep 27, 2017",2 6
"Sep 26, 2017",3 0
"Sep 25, 2017",1 7
"Sep 24, 2017",6 3
"Sep 23, 2017",3 0
"Sep 22, 2017",5 2
"Sep 21, 2017",2 1
"Sep 20, 2017",1 6
"Sep 19, 2017",8 8
"Sep 18, 2017",2 1
"Sep 17, 2017",4 4
"Sep 16, 2017",7 4
"Sep 15, 2017",1 8
"Sep 14, 2017",6 4
"Sep 13, 2017",8 0
"Sep 12, 2017",1 6
"Sep 11, 2017",8 5
"Sep 10, 2017",8 8
"Sep 09, 2017",4 1
"Sep 08, 2017",9 4
"Sep 07, 2017",8 5
"Sep 06, 2017",4 3
"Sep 05, 2017",6 8
"Sep 04, 2017",7 7
"Sep 03, 2017",2 8
"Sep 02, 2017",2 1
"Sep 01, 2017",4 6
"Aug 31, 2017",0 9
"Aug 30, 2017",1 4
"Aug 29, 2017",8 2
"Aug 28, 2017",4 9
"Aug 27, 2017",0 7
"Aug 26, 2017",6 1
"Aug 25, 2017",3 3
"Aug 24, 2017",6 3
"Aug 23, 2017",3 1
"Aug 22, 2017",4 0
"Aug 21, 2017",5 1
"Aug 20, 2017",8 3
"Aug 19, 2017",3 4
"Aug 18, 2017",0 0
"Aug 17, 2017",2 2
"Aug 16, 2017",6 4
"Aug 15, 2017",7 4
"Aug 14, 2017",6 5
"Aug 13, 2017",2 8
"Aug 12, 2017",4 5
"Aug 11, 2017",1 8
"Aug 10, 2017",8 5
"Aug 09, 2017",9 8
"Aug 08, 2017",8 6
"Aug 07, 2017",0 8
"Aug 06, 2017",9 2
"Aug 05, 2017",0 2
"Aug 04, 2017",5 2
"Aug 03, 2017",3 4
"Aug 02, 2017",8 1
